"","Location","Gender","Age","PNB"
"1",1,1,1,0.05
"2",1,1,1,0.07
"3",1,1,1.5,0.12
"4",1,1,2,0.05
"5",1,1,2,0.06
"6",1,1,1.75,0.12
"7",1,1,2.25,0.12
"8",1,1,2,0.18
"9",1,1,2,0.28
"10",1,1,2.75,0.08
"11",1,1,2.75,0.22
"12",1,1,3.25,0.16
"13",1,1,3.25,0.19
"14",1,1,2.5,0.33
"15",1,1,2.25,0.35
"16",1,1,3.5,0.24
"17",1,1,3.75,0.38
"18",1,1,4.75,0.32
"19",1,1,5.5,0.24
"20",1,1,4.25,0.35
"21",1,1,4,0.48
"22",1,1,4.25,0.5
"23",1,1,4,0.52
"24",1,1,4.75,0.48
"25",1,1,5.75,0.4
"26",1,1,4.75,0.49
"27",1,1,5.5,0.5
"28",1,1,7.5,0.4
"29",1,1,6.75,0.49
"30",1,1,6.5,0.55
"31",1,1,6,0.56
"32",1,1,7,0.6
"33",1,1,7,0.64
"34",1,1,6.75,0.71
"35",1,1,7,0.72
"36",1,1,5.75,0.62
"37",1,1,6,0.88
"38",1,1,5.5,0.78
"39",1,1,4.25,0.45
"40",1,1,7.25,0.87
"41",1,1,7.75,0.76
"42",1,1,8.5,0.72
"43",1,1,8,0.88
"44",1,1,8.5,0.86
"45",1,1,9,0.83
"46",1,1,9.75,0.68
"47",1,1,8.75,1
"48",1,1,9,1
"49",1,1,9.25,0.94
"50",1,1,9.5,0.92
"51",1,1,10.5,0.8
"52",1,1,10,0.84
"53",1,1,10,0.88
"54",1,1,10,0.9
"55",1,1,9.75,0.95
"56",1,1,10,0.97
"57",1,1,11.25,0.92
"58",1,1,12.75,0.98
"59",1,1,13,1
"60",1,1,13.25,0.9
"61",1,1,15,0.96
"62",1,1,2.5,0.24
"63",1,0,1,0.2
"64",1,0,1.5,0.12
"65",1,0,2,0.1
"66",1,0,2.25,0.12
"67",1,0,2,0.16
"68",1,0,2,0.19
"69",1,0,2,0.22
"70",1,0,1.75,0.27
"71",1,0,2.5,0.12
"72",1,0,2.5,0.24
"73",1,0,2.75,0.26
"74",1,0,3,0.12
"75",1,0,3,0.13
"76",1,0,4.25,0.32
"77",1,0,3.75,0.44
"78",1,0,4.25,0.46
"79",1,0,5.25,0.6
"80",1,0,5.25,0.52
"81",1,0,6,0.72
"82",1,0,4.25,0.46
"83",1,0,2.5,0.24
"84",1,0,5.25,0.52
"85",0,1,2.75,0.13
"86",0,1,4,0.13
"87",0,1,4,0.22
"88",0,1,4,0.27
"89",0,1,4.25,0.6
"90",0,1,4.5,0.5
"91",0,1,5.5,0.64
"92",0,1,4.25,0.25
"93",0,1,8,0.92
"94",0,1,2.75,0.13
"95",0,1,8,0.92
"96",0,0,3.25,0.3
"97",0,0,7,0.36
"98",0,0,7,0.38
"99",0,0,7.25,0.48
"100",0,0,7.25,0.5
"101",0,0,8,0.4
"102",0,0,8.75,0.8
"103",0,0,13,0.82
"104",0,0,5.5,0.52
"105",0,0,4,0.11
